epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,137.112,0.73056,0.60501,1.01432,0.83774,0.81515,0.89324,0.57572,1.31278,0.87817,1.43432,0.000199576,0.000199576,0.000199576
81,138.674,0.71806,0.55693,1.00936,0.81048,0.81193,0.88663,0.56335,1.30823,0.89669,1.43003,0.000196824,0.000196824,0.000196824
82,140.243,0.70884,0.55333,1.00855,0.81048,0.81193,0.88663,0.56335,1.30823,0.89669,1.43003,0.000194072,0.000194072,0.000194072
83,141.821,0.74045,0.61455,1.02652,0.80801,0.80495,0.87244,0.54607,1.31219,0.90203,1.44686,0.00019132,0.00019132,0.00019132
84,143.455,0.71095,0.56703,0.99404,0.80801,0.80495,0.87244,0.54607,1.31219,0.90203,1.44686,0.000188567,0.000188567,0.000188567
85,145.012,0.67495,0.57171,0.97698,0.84545,0.77943,0.88358,0.58013,1.32423,0.89956,1.46461,0.000185815,0.000185815,0.000185815
86,146.593,0.68076,0.57334,1.00217,0.84545,0.77943,0.88358,0.58013,1.32423,0.89956,1.46461,0.000183063,0.000183063,0.000183063
87,148.197,0.66319,0.53489,0.9992,0.84818,0.80672,0.88711,0.58751,1.32848,0.85454,1.46609,0.000180311,0.000180311,0.000180311
88,149.759,0.73605,0.58956,1.0254,0.84818,0.80672,0.88711,0.58751,1.32848,0.85454,1.46609,0.000177559,0.000177559,0.000177559
89,151.363,0.73209,0.58215,1.02216,0.84171,0.81083,0.89419,0.57154,1.31468,0.8537,1.46407,0.000174806,0.000174806,0.000174806
90,152.921,0.6688,0.54761,0.99083,0.84171,0.81083,0.89419,0.57154,1.31468,0.8537,1.46407,0.000172054,0.000172054,0.000172054
91,154.498,0.72629,0.55402,1.03125,0.88458,0.79381,0.89967,0.56975,1.29937,0.85795,1.4589,0.000169302,0.000169302,0.000169302
92,156.071,0.70634,0.51939,0.99381,0.88458,0.79381,0.89967,0.56975,1.29937,0.85795,1.4589,0.00016655,0.00016655,0.00016655
93,157.663,0.72974,0.57678,1.02314,0.70848,0.93428,0.90228,0.58027,1.31949,0.86671,1.46625,0.000163798,0.000163798,0.000163798
94,159.211,0.66005,0.51742,0.99135,0.70848,0.93428,0.90228,0.58027,1.31949,0.86671,1.46625,0.000161045,0.000161045,0.000161045
95,160.888,0.71998,0.57457,1.01277,0.73275,0.94689,0.9253,0.59576,1.33187,0.87921,1.47284,0.000158293,0.000158293,0.000158293
96,162.664,0.69748,0.56792,1.02504,0.73275,0.94689,0.9253,0.59576,1.33187,0.87921,1.47284,0.000155541,0.000155541,0.000155541
97,164.576,0.69645,0.57676,0.99553,0.7057,0.92687,0.91003,0.58626,1.34196,0.89823,1.47954,0.000152789,0.000152789,0.000152789
98,166.367,0.6846,0.55064,0.99389,0.7057,0.92687,0.91003,0.58626,1.34196,0.89823,1.47954,0.000150037,0.000150037,0.000150037
99,167.947,0.67413,0.54494,0.98968,0.8907,0.74048,0.89511,0.58104,1.3437,0.90521,1.4799,0.000147284,0.000147284,0.000147284
100,169.524,0.67168,0.52478,0.99234,0.8907,0.74048,0.89511,0.58104,1.3437,0.90521,1.4799,0.000144532,0.000144532,0.000144532
101,171.112,0.71034,0.56536,0.99929,0.86413,0.76519,0.89404,0.58936,1.33548,0.90198,1.46591,0.00014178,0.00014178,0.00014178
102,172.66,0.68594,0.5316,0.99038,0.86413,0.76519,0.89404,0.58936,1.33548,0.90198,1.46591,0.000139028,0.000139028,0.000139028
103,174.238,0.70867,0.58338,1.01979,0.70218,0.90624,0.90543,0.58577,1.3289,0.87715,1.45998,0.000136276,0.000136276,0.000136276
104,175.81,0.66525,0.51594,0.96904,0.70218,0.90624,0.90543,0.58577,1.3289,0.87715,1.45998,0.000133523,0.000133523,0.000133523
105,177.377,0.6301,0.50129,0.97045,0.70931,0.90263,0.90057,0.57666,1.33106,0.8755,1.4572,0.000130771,0.000130771,0.000130771
106,178.924,0.69089,0.53042,0.99949,0.70931,0.90263,0.90057,0.57666,1.33106,0.8755,1.4572,0.000128019,0.000128019,0.000128019
107,180.476,0.63612,0.47993,0.96281,0.7095,0.90809,0.87599,0.56539,1.33185,0.88777,1.46194,0.000125267,0.000125267,0.000125267
108,182.365,0.65776,0.52692,0.99026,0.7095,0.90809,0.87599,0.56539,1.33185,0.88777,1.46194,0.000122515,0.000122515,0.000122515
109,183.946,0.72521,0.56316,1.02514,0.70114,0.92303,0.87136,0.58136,1.33571,0.89869,1.46522,0.000119762,0.000119762,0.000119762
110,185.542,0.65979,0.51938,0.98457,0.70114,0.92303,0.87136,0.58136,1.33571,0.89869,1.46522,0.00011701,0.00011701,0.00011701
111,187.132,0.67788,0.51879,0.98796,0.84464,0.78789,0.87675,0.58398,1.3358,0.91212,1.46851,0.000114258,0.000114258,0.000114258
112,188.697,0.67273,0.51974,0.99652,0.84464,0.78789,0.87675,0.58398,1.3358,0.91212,1.46851,0.000111506,0.000111506,0.000111506
113,190.288,0.68294,0.55319,0.99305,0.84111,0.80288,0.88691,0.58523,1.31729,0.92302,1.45707,0.000108754,0.000108754,0.000108754
